model,eval_dataset,is_in_distribution,auroc,base_accuracy,coverage_at_0.5,local_accuracy_at_0.5,overall_accuracy_at_0.5,cost_per_1k_at_0.5,cost_savings_pct,all_cloud_cost_per_1k
MMLU,MMLU,True,0.7814438301329687,0.6885,0.525,0.8647619047619047,0.929,49.37904989,0.451607026577868,90.04318487500001
MMLU,SuperGPQA,False,0.6122129668930391,0.38,0.2885,0.5060658578856152,0.8574999999999999,89.45686620999999,0.3182081530095715,131.20847162500002
MMLU,WildChat,False,0.5132462183249533,0.6117528879959819,0.233550979407333,0.6344086021505376,0.9146157709693622,48.5274555399297,0.2001208949755106,60.66848756906078
MMLU,NatReas,False,0.5571112038791305,0.8195,0.704,0.8316761363636364,0.8815,37.304161085000004,0.6759877829620909,115.131958375
SuperGPQA,MMLU,False,0.6444267261627914,0.6885,0.591,0.7681895093062606,0.863,26.855697409999998,0.7017464736805824,90.04318487500001
SuperGPQA,SuperGPQA,True,0.6212468166383701,0.38,0.348,0.5057471264367817,0.8280000000000001,65.57156252,0.5002490181624354,131.20847162500002
SuperGPQA,WildChat,False,0.5309729860628731,0.6117528879959819,0.06529382219989954,0.6461538461538462,0.9768960321446509,55.46404988448016,0.0857848595394149,60.66848756906078
SuperGPQA,NatReas,False,0.5003701331296193,0.8195,0.6555,0.8176964149504196,0.8805000000000001,30.729993325,0.7330889376092401,115.131958375
WildChat,MMLU,False,0.41583641363328516,0.6885,0.957,0.6880877742946708,0.7015,7.134322765,0.9207677652128361,90.04318487500001
WildChat,SuperGPQA,False,0.4430432937181664,0.38,0.8855,0.3681535855448899,0.44050000000000006,20.82965454,0.8412476398663332,131.20847162500002
WildChat,WildChat,True,0.6755289884165292,0.6117528879959819,0.7172275238573581,0.6799719887955182,0.7704671019588147,20.253716047212453,0.6661575579223556,60.66848756906078
WildChat,NatReas,False,0.4517128375352175,0.8195,0.95,0.8189473684210526,0.8280000000000001,8.21120374,0.9286800654145478,115.131958375
NatReas,MMLU,False,0.6219577302414931,0.6885,1.0,0.6885,0.6885,1.06816368,0.9881372068137878,90.04318487500001
NatReas,SuperGPQA,False,0.588991935483871,0.38,1.0,0.38,0.38,1.54322744,0.9882383551847885,131.20847162500002
NatReas,WildChat,False,0.5232327931395603,0.6117528879959819,0.988950276243094,0.6135093956323007,0.6177800100452034,1.3833488648920143,0.9771982305753493,60.66848756906078
NatReas,NatReas,True,0.6945336914103762,0.8195,0.9645,0.8273716951788491,0.8335,5.69860199,0.9505037344067501,115.131958375
